ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00817,Forever Sunshine,None,Orange,Purple Hawaiian Shirt,Missing Tooth,Calm Teal,Flame,Reading Glasses,Blue Flame,None,961.3,"{""721"":{""ergoat-00817"":{""index"":00817,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Calm Teal"",""wield"":""Flame"",""accessory"":""Reading Glasses"",""head"":""Blue Flame"",""earring"":""None""}}}"
00818,Inverse Day,Red Parrot,Blue,Green Hawaiian Shirt,Gold Tooth,Angry Red,Tie Dye Wine,Pentagram,Dark Ronin Hat,Sapphire Stud,718.4,"{""721"":{""ergoat-00818"":{""index"":00818,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""Red Parrot"",""body"":""Blue"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Angry Red"",""wield"":""Tie Dye Wine"",""accessory"":""Pentagram"",""head"":""Dark Ronin Hat"",""earring"":""Sapphire Stud""}}}"
00819,Bloodshot,None,Purple,White Suit,Smirk,Assassin Gray,Red Wine,Nose Scar,Ronin Hat,Silver Hoop,917,"{""721"":{""ergoat-00819"":{""index"":00819,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""White Suit"",""mouth"":""Smirk"",""eyes"":""Assassin Gray"",""wield"":""Red Wine"",""accessory"":""Nose Scar"",""head"":""Ronin Hat"",""earring"":""Silver Hoop""}}}"
00820,Red Window,Red Katana,Gray,Ronin Black,Gold Tooth,Angry Purple,Christmas Mug,Nose Scar,Pink Neon Horns,None,891.9,"{""721"":{""ergoat-00820"":{""index"":00820,""generation"":1,""background"":""Red Window"",""back_accessory"":""Red Katana"",""body"":""Gray"",""clothes"":""Ronin Black"",""mouth"":""Gold Tooth"",""eyes"":""Angry Purple"",""wield"":""Christmas Mug"",""accessory"":""Nose Scar"",""head"":""Pink Neon Horns"",""earring"":""None""}}}"
00821,Skinny Dip,None,Gray,Ripped Suit,Missing Tooth,Stoned,Necronomicon,Reading Glasses,Orange Afro,Snowman,889.8,"{""721"":{""ergoat-00821"":{""index"":00821,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Ripped Suit"",""mouth"":""Missing Tooth"",""eyes"":""Stoned"",""wield"":""Necronomicon"",""accessory"":""Reading Glasses"",""head"":""Orange Afro"",""earring"":""Snowman""}}}"
00822,Sun Belt,None,Yellow,Bulls Jersey,Gold Tooth,Calm Purple,Cigarette,Evil Face Tattoo,Purple Beanie,Pentagram,856.1,"{""721"":{""ergoat-00822"":{""index"":00822,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Bulls Jersey"",""mouth"":""Gold Tooth"",""eyes"":""Calm Purple"",""wield"":""Cigarette"",""accessory"":""Evil Face Tattoo"",""head"":""Purple Beanie"",""earring"":""Pentagram""}}}"
00823,Island in Blood,Rainbow Angel Wings,Purple,Joker Suit,Pierced Tongue,Assassin Gray,Basketball,Red Scouter,War Helmet,None,680,"{""721"":{""ergoat-00823"":{""index"":00823,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Purple"",""clothes"":""Joker Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Assassin Gray"",""wield"":""Basketball"",""accessory"":""Red Scouter"",""head"":""War Helmet"",""earring"":""None""}}}"
00824,Opening Scene,Blue Parrot,Brown,Holiday Suit,Smirk,Assassin Green,Tie Dye Wine,Nose Scar,War Helmet,Diamond Stud,690.4,"{""721"":{""ergoat-00824"":{""index"":00824,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""Blue Parrot"",""body"":""Brown"",""clothes"":""Holiday Suit"",""mouth"":""Smirk"",""eyes"":""Assassin Green"",""wield"":""Tie Dye Wine"",""accessory"":""Nose Scar"",""head"":""War Helmet"",""earring"":""Diamond Stud""}}}"
00825,Skyism,Red Parrot,Purple,Lab Coat No2,Tongue Tied,Assassin Green,Christmas Mug,Red Collar,Purple Beanie,Disco Ball,778.3,"{""721"":{""ergoat-00825"":{""index"":00825,""generation"":1,""background"":""Skyism"",""back_accessory"":""Red Parrot"",""body"":""Purple"",""clothes"":""Lab Coat No2"",""mouth"":""Tongue Tied"",""eyes"":""Assassin Green"",""wield"":""Christmas Mug"",""accessory"":""Red Collar"",""head"":""Purple Beanie"",""earring"":""Disco Ball""}}}"
00826,Summer,Bag of Toys,Teal,White Suit,Missing Tooth,Assassin Gray,Flame,Gray Collar,Snowy Tophat,None,860.9,"{""721"":{""ergoat-00826"":{""index"":00826,""generation"":1,""background"":""Summer"",""back_accessory"":""Bag of Toys"",""body"":""Teal"",""clothes"":""White Suit"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Gray"",""wield"":""Flame"",""accessory"":""Gray Collar"",""head"":""Snowy Tophat"",""earring"":""None""}}}"
00827,Cheap Red,None,Gray,White ERGoat Shirt,Screaming,Stoned,Trident,Gray Collar,Green Neon Horns,Hanafudu No2,859.5,"{""721"":{""ergoat-00827"":{""index"":00827,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""White ERGoat Shirt"",""mouth"":""Screaming"",""eyes"":""Stoned"",""wield"":""Trident"",""accessory"":""Gray Collar"",""head"":""Green Neon Horns"",""earring"":""Hanafudu No2""}}}"
00828,Watermelon Stripe,Red Katana,Brown,Bulls Jersey,Sharp,Calm Purple,Spirit Gun,Face Cuts,War Helmet,Ergo Chain,724.3,"{""721"":{""ergoat-00828"":{""index"":00828,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Red Katana"",""body"":""Brown"",""clothes"":""Bulls Jersey"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Spirit Gun"",""accessory"":""Face Cuts"",""head"":""War Helmet"",""earring"":""Ergo Chain""}}}"
00829,Fish,Blue Katana,Teal,White Suit,Pierced Tongue,Calm Teal,Cigarette,Green Energy,War Helmet,Snowman,674.1,"{""721"":{""ergoat-00829"":{""index"":00829,""generation"":1,""background"":""Fish"",""back_accessory"":""Blue Katana"",""body"":""Teal"",""clothes"":""White Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Teal"",""wield"":""Cigarette"",""accessory"":""Green Energy"",""head"":""War Helmet"",""earring"":""Snowman""}}}"
00830,Watermelon Stripe,None,Gray,Ronin Black,Flopped,Assassin Green,Necronomicon,Gold Chain Necklace,Pink Neon Horns,Gold Hoop,865.7,"{""721"":{""ergoat-00830"":{""index"":00830,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Ronin Black"",""mouth"":""Flopped"",""eyes"":""Assassin Green"",""wield"":""Necronomicon"",""accessory"":""Gold Chain Necklace"",""head"":""Pink Neon Horns"",""earring"":""Gold Hoop""}}}"
00831,Score Line,None,Purple,Lab Coat No1,Pierced Tongue,Calm Purple,Katana,Reading Glasses,Royal Guard Hat,None,980.2,"{""721"":{""ergoat-00831"":{""index"":00831,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Lab Coat No1"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Purple"",""wield"":""Katana"",""accessory"":""Reading Glasses"",""head"":""Royal Guard Hat"",""earring"":""None""}}}"
00832,Forever Sunshine,Red Parrot,Purple,Lab Coat No1,Gritted Teeth,Calm Purple,Flame,Evil Face Tattoo,Headband,Ergo Chain,815.4,"{""721"":{""ergoat-00832"":{""index"":00832,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""Red Parrot"",""body"":""Purple"",""clothes"":""Lab Coat No1"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Flame"",""accessory"":""Evil Face Tattoo"",""head"":""Headband"",""earring"":""Ergo Chain""}}}"
00833,Score Line,Red Parrot,Orange,Lab Coat No2,Smirk,Shoujo,Katana,3D Glasses No2,Headband,Ruby Stud,722.3,"{""721"":{""ergoat-00833"":{""index"":00833,""generation"":1,""background"":""Score Line"",""back_accessory"":""Red Parrot"",""body"":""Orange"",""clothes"":""Lab Coat No2"",""mouth"":""Smirk"",""eyes"":""Shoujo"",""wield"":""Katana"",""accessory"":""3D Glasses No2"",""head"":""Headband"",""earring"":""Ruby Stud""}}}"
00834,Mustard,None,Orange,Blue Ninja Armor,Snake,Calm Teal,Cigarette,Evil Face Tattoo,Snowy Tophat,Hanafudu No1,801.2,"{""721"":{""ergoat-00834"":{""index"":00834,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Blue Ninja Armor"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""Cigarette"",""accessory"":""Evil Face Tattoo"",""head"":""Snowy Tophat"",""earring"":""Hanafudu No1""}}}"
00835,Opening Scene,None,Yellow,Black Suit,Grin,Crazy Blue,Coconut,Nose Scar,Snowy Tophat,Safety Pin,830,"{""721"":{""ergoat-00835"":{""index"":00835,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Black Suit"",""mouth"":""Grin"",""eyes"":""Crazy Blue"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""Snowy Tophat"",""earring"":""Safety Pin""}}}"
00836,Monochrome,Rainbow Angel Wings,Blue,Blue Ninja Armor,Gritted Teeth,Angry Purple,Necronomicon,Red Collar,Headband,None,834.5,"{""721"":{""ergoat-00836"":{""index"":00836,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Blue"",""clothes"":""Blue Ninja Armor"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Purple"",""wield"":""Necronomicon"",""accessory"":""Red Collar"",""head"":""Headband"",""earring"":""None""}}}"
00837,Skinny Dip,Red Parrot,Yellow,White Suit,Smirk,Calm Teal,Spiked Bat,Gray Collar,Cowboy Hat,None,901.2,"{""721"":{""ergoat-00837"":{""index"":00837,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""Red Parrot"",""body"":""Yellow"",""clothes"":""White Suit"",""mouth"":""Smirk"",""eyes"":""Calm Teal"",""wield"":""Spiked Bat"",""accessory"":""Gray Collar"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00838,Inverse Day,Blue Katana,Brown,Purple Hawaiian Shirt,Pierced Tongue,Angry Red,Katana,3D Glasses No2,Blue Flame,Ruby Stud,733.4,"{""721"":{""ergoat-00838"":{""index"":00838,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""Blue Katana"",""body"":""Brown"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Red"",""wield"":""Katana"",""accessory"":""3D Glasses No2"",""head"":""Blue Flame"",""earring"":""Ruby Stud""}}}"
00839,Sunshine,Blue Parrot,Blue,Ronin White,Smirk,Shoujo,Cocktail,3D Glasses No2,Dark Cowboy Hat,Pentagram,729.7,"{""721"":{""ergoat-00839"":{""index"":00839,""generation"":1,""background"":""Sunshine"",""back_accessory"":""Blue Parrot"",""body"":""Blue"",""clothes"":""Ronin White"",""mouth"":""Smirk"",""eyes"":""Shoujo"",""wield"":""Cocktail"",""accessory"":""3D Glasses No2"",""head"":""Dark Cowboy Hat"",""earring"":""Pentagram""}}}"
00840,Seattle Proper,Red Parrot,Blue,Ripped Suit,Sharp,Crazy Yellow,Cigarette,Gray Collar,Santa Hat,Hanafudu No2,812,"{""721"":{""ergoat-00840"":{""index"":00840,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""Red Parrot"",""body"":""Blue"",""clothes"":""Ripped Suit"",""mouth"":""Sharp"",""eyes"":""Crazy Yellow"",""wield"":""Cigarette"",""accessory"":""Gray Collar"",""head"":""Santa Hat"",""earring"":""Hanafudu No2""}}}"
00841,Score Line,None,Pink,Lab Coat No2,Tongue Tied,Angry Red,Snowball,Reading Glasses,Rambo,None,958.1,"{""721"":{""ergoat-00841"":{""index"":00841,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Lab Coat No2"",""mouth"":""Tongue Tied"",""eyes"":""Angry Red"",""wield"":""Snowball"",""accessory"":""Reading Glasses"",""head"":""Rambo"",""earring"":""None""}}}"
00842,Summer,Battle Axe,Purple,Celtics Jersey,Pierced Tongue,Crazy Yellow,Basketball,Reading Glasses,Headband,None,819.1,"{""721"":{""ergoat-00842"":{""index"":00842,""generation"":1,""background"":""Summer"",""back_accessory"":""Battle Axe"",""body"":""Purple"",""clothes"":""Celtics Jersey"",""mouth"":""Pierced Tongue"",""eyes"":""Crazy Yellow"",""wield"":""Basketball"",""accessory"":""Reading Glasses"",""head"":""Headband"",""earring"":""None""}}}"
00843,Skinny Dip,None,Orange,Black Suit,Snake,Crazy Blue,Cocktail,3D Glasses No2,Purple Beanie,Disco Ball,892,"{""721"":{""ergoat-00843"":{""index"":00843,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Black Suit"",""mouth"":""Snake"",""eyes"":""Crazy Blue"",""wield"":""Cocktail"",""accessory"":""3D Glasses No2"",""head"":""Purple Beanie"",""earring"":""Disco Ball""}}}"
00844,Monochrome,None,Blue,Ronin Black,Sharp,Assassin Gray,Cigarette,Gold Chain Necklace,Ronin Hat,Ergo Chain,896.7,"{""721"":{""ergoat-00844"":{""index"":00844,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ronin Black"",""mouth"":""Sharp"",""eyes"":""Assassin Gray"",""wield"":""Cigarette"",""accessory"":""Gold Chain Necklace"",""head"":""Ronin Hat"",""earring"":""Ergo Chain""}}}"
00845,Bloodshot,Blue Katana,Purple,Baphomet,Tongue Tied,Assassin Gray,Tie Dye Wine,Green Energy,Snowy Tophat,Diamond Stud,712.7,"{""721"":{""ergoat-00845"":{""index"":00845,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Blue Katana"",""body"":""Purple"",""clothes"":""Baphomet"",""mouth"":""Tongue Tied"",""eyes"":""Assassin Gray"",""wield"":""Tie Dye Wine"",""accessory"":""Green Energy"",""head"":""Snowy Tophat"",""earring"":""Diamond Stud""}}}"
00846,Summer,Red Katana,Red,Black Suit,Missing Tooth,Calm Purple,Katana,Red Scouter,Green Beanie,Disco Ball,815.2,"{""721"":{""ergoat-00846"":{""index"":00846,""generation"":1,""background"":""Summer"",""back_accessory"":""Red Katana"",""body"":""Red"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Katana"",""accessory"":""Red Scouter"",""head"":""Green Beanie"",""earring"":""Disco Ball""}}}"
00847,Crime Scene,None,Blue,Ripped Suit,Pierced Tongue,Super,Red Wine,Gold Chain Necklace,Blue Flame,Off White Tag,815.8,"{""721"":{""ergoat-00847"":{""index"":00847,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ripped Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Super"",""wield"":""Red Wine"",""accessory"":""Gold Chain Necklace"",""head"":""Blue Flame"",""earring"":""Off White Tag""}}}"
00848,Forever Sunshine,None,Orange,Black ERGoat Shirt,Gold Tooth,Assassin Green,Tie Dye Wine,Gold Chain Necklace,Afro,Ergo Chain,899.5,"{""721"":{""ergoat-00848"":{""index"":00848,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Green"",""wield"":""Tie Dye Wine"",""accessory"":""Gold Chain Necklace"",""head"":""Afro"",""earring"":""Ergo Chain""}}}"
00849,Monochrome,Shoulder Angel,Gray,White Suit,Flopped,Calm Purple,Snowball,Red Energy,Headband,Off White Tag,784.5,"{""721"":{""ergoat-00849"":{""index"":00849,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Shoulder Angel"",""body"":""Gray"",""clothes"":""White Suit"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Snowball"",""accessory"":""Red Energy"",""head"":""Headband"",""earring"":""Off White Tag""}}}"
00850,Mustard,Rainbow Angel Wings,Orange,Joker Suit,Gritted Teeth,Calm Purple,Spirit Gun,Silver Chain Necklace,Horns,Snowman,835,"{""721"":{""ergoat-00850"":{""index"":00850,""generation"":1,""background"":""Mustard"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Orange"",""clothes"":""Joker Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Spirit Gun"",""accessory"":""Silver Chain Necklace"",""head"":""Horns"",""earring"":""Snowman""}}}"
00851,Cherry Blossom,None,Green,Black ERGoat Shirt,Smirk,Shoujo,Wolverine,Red Energy,Royal Guard Hat,Gold Hoop,750.5,"{""721"":{""ergoat-00851"":{""index"":00851,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Smirk"",""eyes"":""Shoujo"",""wield"":""Wolverine"",""accessory"":""Red Energy"",""head"":""Royal Guard Hat"",""earring"":""Gold Hoop""}}}"
00852,Inverse Day,None,Pink,Ripped Suit,Tongue Tied,Assassin Green,Coconut,Red Collar,Ram Horns,Spikes,875.8,"{""721"":{""ergoat-00852"":{""index"":00852,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Ripped Suit"",""mouth"":""Tongue Tied"",""eyes"":""Assassin Green"",""wield"":""Coconut"",""accessory"":""Red Collar"",""head"":""Ram Horns"",""earring"":""Spikes""}}}"
00853,Gum,None,Purple,Ripped Suit,Grin,Calm Teal,Trident,Blue Energy,Cowboy Hat,Hanafudu No1,877.8,"{""721"":{""ergoat-00853"":{""index"":00853,""generation"":1,""background"":""Gum"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Ripped Suit"",""mouth"":""Grin"",""eyes"":""Calm Teal"",""wield"":""Trident"",""accessory"":""Blue Energy"",""head"":""Cowboy Hat"",""earring"":""Hanafudu No1""}}}"
00854,Rojo,None,Teal,Ripped Suit,Smirk,Stoned,Snowball,Red Scouter,Royal Guard Hat,Off White Tag,801.8,"{""721"":{""ergoat-00854"":{""index"":00854,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Ripped Suit"",""mouth"":""Smirk"",""eyes"":""Stoned"",""wield"":""Snowball"",""accessory"":""Red Scouter"",""head"":""Royal Guard Hat"",""earring"":""Off White Tag""}}}"
00855,Psycho,Rainbow Demon Wings,Teal,White ERGoat Shirt,Missing Tooth,Assassin Gray,Coconut,Silver Chain Necklace,Pink Neon Horns,Safety Pin,785.8,"{""721"":{""ergoat-00855"":{""index"":00855,""generation"":1,""background"":""Psycho"",""back_accessory"":""Rainbow Demon Wings"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Gray"",""wield"":""Coconut"",""accessory"":""Silver Chain Necklace"",""head"":""Pink Neon Horns"",""earring"":""Safety Pin""}}}"
00856,Psycho,None,Brown,Ronin Black,Gold Tooth,Calm Purple,Cocktail,Red Collar,Horns,Silver Hoop,960.7,"{""721"":{""ergoat-00856"":{""index"":00856,""generation"":1,""background"":""Psycho"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Ronin Black"",""mouth"":""Gold Tooth"",""eyes"":""Calm Purple"",""wield"":""Cocktail"",""accessory"":""Red Collar"",""head"":""Horns"",""earring"":""Silver Hoop""}}}"
00857,Psycho,Red Katana,Yellow,Yellow Ninja Armor,Tongue Tied,Crazy Blue,White Wine,3D Glasses No1,Dark Santa Hat,Diamond Stud,665.2,"{""721"":{""ergoat-00857"":{""index"":00857,""generation"":1,""background"":""Psycho"",""back_accessory"":""Red Katana"",""body"":""Yellow"",""clothes"":""Yellow Ninja Armor"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""White Wine"",""accessory"":""3D Glasses No1"",""head"":""Dark Santa Hat"",""earring"":""Diamond Stud""}}}"
00858,Rojo,Angel Wings,Teal,Holiday Suit,Gritted Teeth,Assassin Green,Katana,Evil Face Tattoo,Afro Samurai,Hanafudu No1,727.1,"{""721"":{""ergoat-00858"":{""index"":00858,""generation"":1,""background"":""Rojo"",""back_accessory"":""Angel Wings"",""body"":""Teal"",""clothes"":""Holiday Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Green"",""wield"":""Katana"",""accessory"":""Evil Face Tattoo"",""head"":""Afro Samurai"",""earring"":""Hanafudu No1""}}}"
00859,Score Line,None,Gray,Lab Coat No1,Grin,Assassin Green,Basketball,Pentagram,Dark Horns,None,929.2,"{""721"":{""ergoat-00859"":{""index"":00859,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Lab Coat No1"",""mouth"":""Grin"",""eyes"":""Assassin Green"",""wield"":""Basketball"",""accessory"":""Pentagram"",""head"":""Dark Horns"",""earring"":""None""}}}"
00860,Forever Sunshine,None,Blue,Green Hawaiian Shirt,Grin,Angry Purple,Coconut,Nose Scar,Green Beanie,Diamond Stud,891.2,"{""721"":{""ergoat-00860"":{""index"":00860,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Grin"",""eyes"":""Angry Purple"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""Green Beanie"",""earring"":""Diamond Stud""}}}"
00861,Psycho,None,Red,Ronin White,Snake,Crazy Blue,Snowball,Red Energy,War Helmet,Gold Hoop,823.2,"{""721"":{""ergoat-00861"":{""index"":00861,""generation"":1,""background"":""Psycho"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Ronin White"",""mouth"":""Snake"",""eyes"":""Crazy Blue"",""wield"":""Snowball"",""accessory"":""Red Energy"",""head"":""War Helmet"",""earring"":""Gold Hoop""}}}"
00862,Watermelon,None,Orange,Lab Coat No2,Snake,Super,Cupcake,Face Cuts,War Helmet,Pentagram,762.1,"{""721"":{""ergoat-00862"":{""index"":00862,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Lab Coat No2"",""mouth"":""Snake"",""eyes"":""Super"",""wield"":""Cupcake"",""accessory"":""Face Cuts"",""head"":""War Helmet"",""earring"":""Pentagram""}}}"
00863,Gum,None,Teal,Ronin Black,Grin,Stoned,Spirit Gun,Red Collar,Purple Beanie,Safety Pin,894.7,"{""721"":{""ergoat-00863"":{""index"":00863,""generation"":1,""background"":""Gum"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Spirit Gun"",""accessory"":""Red Collar"",""head"":""Purple Beanie"",""earring"":""Safety Pin""}}}"
00864,Seattle Proper,None,Teal,Green Hawaiian Shirt,Screaming,Angry Red,Wolverine,Evil Face Tattoo,Cowboy Hat,Silver Hoop,886.2,"{""721"":{""ergoat-00864"":{""index"":00864,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Screaming"",""eyes"":""Angry Red"",""wield"":""Wolverine"",""accessory"":""Evil Face Tattoo"",""head"":""Cowboy Hat"",""earring"":""Silver Hoop""}}}"
00865,Monochrome,None,Blue,White Suit,Tongue Tied,Angry Red,Snowball,Blue Energy,Cowboy Hat,Sapphire Stud,863,"{""721"":{""ergoat-00865"":{""index"":00865,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""White Suit"",""mouth"":""Tongue Tied"",""eyes"":""Angry Red"",""wield"":""Snowball"",""accessory"":""Blue Energy"",""head"":""Cowboy Hat"",""earring"":""Sapphire Stud""}}}"
00866,Sunshine,Red Parrot,Orange,Ripped Suit,Sharp,Crazy Blue,Trident,Green Energy,Afro,None,861,"{""721"":{""ergoat-00866"":{""index"":00866,""generation"":1,""background"":""Sunshine"",""back_accessory"":""Red Parrot"",""body"":""Orange"",""clothes"":""Ripped Suit"",""mouth"":""Sharp"",""eyes"":""Crazy Blue"",""wield"":""Trident"",""accessory"":""Green Energy"",""head"":""Afro"",""earring"":""None""}}}"
00867,Movie Foam,Battle Axe,Pink,Purple Hawaiian Shirt,Tongue Tied,Calm Purple,Cigarette,Red Collar,Blue Flame,Safety Pin,745.9,"{""721"":{""ergoat-00867"":{""index"":00867,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Battle Axe"",""body"":""Pink"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Tongue Tied"",""eyes"":""Calm Purple"",""wield"":""Cigarette"",""accessory"":""Red Collar"",""head"":""Blue Flame"",""earring"":""Safety Pin""}}}"
00868,Mustard,Monkey Tail,Yellow,Tat Blasted,Tongue Tied,Angry Red,Wolverine,Red Collar,Blue Flame,Ruby Stud,739.3,"{""721"":{""ergoat-00868"":{""index"":00868,""generation"":1,""background"":""Mustard"",""back_accessory"":""Monkey Tail"",""body"":""Yellow"",""clothes"":""Tat Blasted"",""mouth"":""Tongue Tied"",""eyes"":""Angry Red"",""wield"":""Wolverine"",""accessory"":""Red Collar"",""head"":""Blue Flame"",""earring"":""Ruby Stud""}}}"
00869,Hazy Eve,Green Parrot,Green,Holiday Suit,Tongue Tied,Crazy Blue,Flame,Silver Medal,Dark Cowboy Hat,Off White Tag,724.1,"{""721"":{""ergoat-00869"":{""index"":00869,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""Green Parrot"",""body"":""Green"",""clothes"":""Holiday Suit"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""Flame"",""accessory"":""Silver Medal"",""head"":""Dark Cowboy Hat"",""earring"":""Off White Tag""}}}"
00870,Skyism,Red Parrot,Red,White Suit,Flopped,Crazy Blue,Cupcake,3D Glasses No2,Dark Cowboy Hat,Sapphire Stud,791.2,"{""721"":{""ergoat-00870"":{""index"":00870,""generation"":1,""background"":""Skyism"",""back_accessory"":""Red Parrot"",""body"":""Red"",""clothes"":""White Suit"",""mouth"":""Flopped"",""eyes"":""Crazy Blue"",""wield"":""Cupcake"",""accessory"":""3D Glasses No2"",""head"":""Dark Cowboy Hat"",""earring"":""Sapphire Stud""}}}"
00871,Best Friend,Blue Parrot,Teal,Green Hawaiian Shirt,Gritted Teeth,Crazy Blue,Cocktail,Nose Scar,Dark Santa Hat,Gold Hoop,739.7,"{""721"":{""ergoat-00871"":{""index"":00871,""generation"":1,""background"":""Best Friend"",""back_accessory"":""Blue Parrot"",""body"":""Teal"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Cocktail"",""accessory"":""Nose Scar"",""head"":""Dark Santa Hat"",""earring"":""Gold Hoop""}}}"
00872,Hex Orange,Battle Axe,Yellow,Holiday ERGoat Shirt,Gold Tooth,Calm Purple,Wolverine,Silver Medal,Cowboy Hat,None,786.5,"{""721"":{""ergoat-00872"":{""index"":00872,""generation"":1,""background"":""Hex Orange"",""back_accessory"":""Battle Axe"",""body"":""Yellow"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""Silver Medal"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
